,p5,median,p95
1949.5,0.12258275123450665,0.16759892723915262,0.23957912452573626
1950.5,0.12479520917051742,0.17068250724357892,0.2439126061232041
1951.5,0.12708610516563798,0.17387165619180922,0.24840221033169252
1952.5,0.12947716019137112,0.17720970650326445,0.2530684156565912
1953.5,0.13199801332970879,0.1807039025484973,0.25793749619693684
1954.5,0.13464456166827266,0.1843510721680524,0.26303767687535895
1955.5,0.1375242053106075,0.1882313783322957,0.26858179086904793
1956.5,0.1407346426239786,0.19246398150964425,0.2744931359277854
1957.5,0.14421154446224344,0.19702045214985991,0.2805053620157363
1958.5,0.14784332205557976,0.20168344133648083,0.2866668429717094
1959.5,0.15154585320753317,0.206431256477196,0.2931124501688299
1960.5,0.15532958376749192,0.21142796624249044,0.30001222888330226
1961.5,0.15924377547592977,0.21669988000273888,0.3073376694948123
1962.5,0.16321783563798248,0.2220781576791182,0.3148561744048183
1963.5,0.16728183803123498,0.22759015100301894,0.3225450159804824
1964.5,0.17144069678493962,0.23334622674290612,0.3303779239017537
1965.5,0.17564712786623723,0.23925961548395266,0.33830838246705963
1966.5,0.18002641043334175,0.24522789143581028,0.3464622627849037
1967.5,0.18458025107188947,0.25131647772089033,0.35480442066798
1968.5,0.1891762600774216,0.25740298060478073,0.36317605026632316
1969.5,0.19376451910482448,0.26347020911486574,0.37146554519272046
1970.5,0.19839370494305503,0.26961591244888106,0.3797658684906786
1971.5,0.2030261026656526,0.2756529667206214,0.38817442993269574
1972.5,0.2076457094982781,0.28167174273708495,0.3968054034214267
1973.5,0.21217019482488944,0.2876971329391265,0.40560297373760273
1974.5,0.21645028079241385,0.2936585721590504,0.41430031637812587
1975.5,0.2205586064492373,0.2995877327685613,0.4228032248523482
1976.5,0.224637169918542,0.30548244803201424,0.43114250057974507
1977.5,0.2287043251207419,0.31130439971926005,0.43936534383438675
1978.5,0.23268196904119684,0.31697547659166864,0.44746270280421385
1979.5,0.23652675416340466,0.32242421679033695,0.4554709221086733
1980.5,0.24022122546550387,0.32760421407820484,0.46335821592338505
1981.5,0.24374448076753133,0.3325899015311877,0.47096803583031077
1982.5,0.24719805165307426,0.33758875610937233,0.4783785450133943
1983.5,0.2505091703649919,0.3423664897381572,0.4856038325952905
1984.5,0.25356802994425776,0.34677636421748514,0.49250778516787
1985.5,0.2563937307114849,0.3509936786979517,0.49906552822702027
1986.5,0.259028510616426,0.35483782336498726,0.5053201008299513
1987.5,0.2616521311886828,0.35849455564761845,0.5117007602300215
1988.5,0.2641540716482554,0.3622326166577036,0.5181726450662432
1989.5,0.26653610457298627,0.3660068455092289,0.5242817927968597
1990.5,0.26885370728888314,0.369594700199248,0.5300789698465094
1991.5,0.2712260500533137,0.37318052239919575,0.5359573655619853
1992.5,0.2735084887125391,0.3767588296026126,0.5416298733371434
1993.5,0.2754283613560648,0.37990422805649277,0.5467757893655039
1994.5,0.27736870097570554,0.3829102242733251,0.5519535612950035
1995.5,0.2792449154743124,0.38576307174703667,0.5571139814315219
1996.5,0.280797928044323,0.38831469848008787,0.5620127881347545
1997.5,0.2825823499123594,0.39130525751546374,0.5672773333623538
1998.5,0.28457829270759705,0.39461352905442904,0.5725699482403428
1999.5,0.28617314718796893,0.39741995096315397,0.5774491550959959
2000.5,0.2874422588035135,0.39980166886566726,0.5819981373758922
2001.5,0.28884517560693523,0.40180045618151927,0.586094720984937
2002.5,0.29028031393295867,0.4037362309859436,0.5902584587440405
2003.5,0.2917163765703296,0.40592878049174763,0.5944488424680224
2004.5,0.29334394784767454,0.4080634105818992,0.5981564259266519
2005.5,0.29492805566312624,0.41023515259174226,0.6019053649101107
2006.5,0.2965464244142773,0.41265068985164655,0.6062227211870294
2007.5,0.2981190847377078,0.41513629888808795,0.610630654975994
2008.5,0.2995345848669505,0.4176453964756556,0.6151158390772693
2009.5,0.3010640412839873,0.41995854475906064,0.6199493417757755
2010.5,0.30281978257457604,0.4223635069715938,0.6241741330434375
2011.5,0.30465637666292783,0.4249096696319146,0.6281736196957235
2012.5,0.3065720524795581,0.4276051966709766,0.6328760050658132
